Column1,url,title,date,source,article,indexno,doc_no,category,region
47,http://xxgk.jl.gov.cn/zsjg/fgw/xxgkmlqy/202302/t20230221_8670869.html,吉林省社会医疗保险管理局2023年单位预算,2/21/2023,省政府信息公开专栏,吉林省社会医疗保险管理局2023年单位预算, 11220000MB19566296/2023-00488,, 财政预决算;其他,吉林省
48,http://xxgk.jl.gov.cn/zsjg/fgw/xxgkmlqy/202302/t20230227_8672926.html,关于做好国家基本医疗保险工伤保险和生育保险药品目录2022年执行工作的通知,2/27/2023,省政府信息公开专栏,"各市（州）医疗保障局、人力资源和社会保障局，长白山管委会医疗保障局、人力资源和社会保障局，各县（市、区）医疗保障局、人力资源和社会保障局： 为进一步提高参保人员用药保障水平，按照《国家医保局 人力资源社会保障部关于印发<国家基本医疗保险、工伤保险和生育保险药品目录（2022年）>的通知》（医保发〔2023〕5号，以下简称《2022年药品目录》并详见附件1）等要求，现结合我省实际，并就做好《2022年药品目录》执行工作通知如下： 一、严格执行国家药品目录 全省基本医疗保险、工伤保险和生育保险于2023年3月1日起统一执行《2022年药品目录》（协议期内谈判药品中的阿兹夫定片和清肺排毒颗粒新的医保支付标准自2023年4月1日起实施）；原《关于切实做好国家基本医疗保险、工伤保险和生育保险药品目录执行工作的通知》（吉医保联〔2021〕32号）同步不再执行。各统筹区不得自行调整目录内品种、备注和甲乙分类等内容。二、严密规范执行支付标准 协议期内谈判药品和竞价药品执行全国统一的医保支付标准。协议期内，若谈判药品或竞价药品存在《2022年药品目录》未载明的规格需纳入医保支付范围，待国家医保局确定支付标准后，统一执行。协议期内如有与谈判药品同通用名同剂型的药品上市，其挂网价格不得高于谈判确定的同规格医保支付标准。对竞价药品，实际市场价格超出支付标准的，超出部分由参保人员承担；实际市场价格低于支付标准的，按照实际价格由医保基金和参保人员分担。有竞价药品需求的定点医药机构，原则上应配备（使用）竞价药品同通用名下价格不高于支付标准的品种，以切实减轻参保患者和医保基金负担。协议期内谈判药品医保支付标准有“*”标识的，各相关部门不得在公开发文、新闻宣传等公开途径中公布其医保支付标准。三、统筹做好目录政策衔接 结合新版药品目录调整等情况，经专家论证，动态调整了我省“双通道药品”管理范围（具体详见附件2，与《2022年药品目录》同步执行）。各统筹区应规范有序扩大“双通道”定点医药机构覆盖范围，提升参保人购药的便捷性和可及性。结合新版药品目录调整情况，将《2022年药品目录》新增品种中的二甲双胍Ⅲ（剂型：缓释控释）、恒格列净（剂型：口服常释）、西格列他（剂型：口服常释）、德谷胰岛素利拉鲁肽（剂型：注射剂）、比索洛尔氨氯地平（剂型：口服常释）、美阿沙坦（剂型：口服常释）新纳入我省“两病”门诊用药范围，其支付标准统一执行国家规定。我省按权限出台的医疗机构制剂、中药饮片及中药配方颗粒目录政策，继续按原文件执行。《2022年药品目录》中汉防己甲素片等27种药品继续按照2022年2月18日印发的《关于开展医保药品支付标准试点工作的通知》要求执行。四、扎实推动目录执行落地 省公共资源交易中心要按规定及时做好《2022年药品目录》内尤其是协议期内谈判药品挂网工作。协议期内谈判药品的挂网价格不高于支付标准。参与目录准入竞价的企业，在支付标准有效期内，其竞价药品挂网价格不高于参与竞价时的报价。省社会医疗保险管理局、省社会保险事业管理局要及时做好信息系统更新及定点医药机构的通知、指导等工作，确保按期落地执行。各统筹区医保部门、社保部门应做好新版目录的衔接和经办管理工作；加强定点（协议）机构协议管理，强化智能监管，积极推动新版目录高效严密落地。各统筹区要按照《国家医保局 国家卫健委关于建立完善国家医保谈判药品“双通道”管理机制的指导意见》（医保发〔2021〕28号）、《关于加强国家医保谈判药品配备使用 完善“双通道药品”管理机制的通知》（吉医保联〔2021〕26号）等要求，督促推动定点（协议）医疗机构建立院内药品配备与医保药品目录调整联动机制，自目录公布两个月内，定点医疗机构应召开专题药事会，对临床有使用需求但尚未配备的协议内谈判药，建立绿色通道，直接纳入医疗机构用药目录,切实做到谈判药品“应配尽配”。《2022年药品目录》可登陆吉林省医疗保障局官方网站查阅及下载。各统筹区在目录执行过程中，遇有重大问题应及时分别向省医疗保障局、省人力资源和社会保障厅报告。附件：1.国家基本医疗保险、工伤保险和生育保险药品目录（2022年）2.吉林省基本医保 “双通道药品”管理范围情况表", 11220000MB19566296/2023-00623, 吉医保联〔2023〕, 医药服务管理;通知,吉林省
49,http://xxgk.jl.gov.cn/zsjg/fgw/xxgkmlqy/202302/t20230228_8673380.html,关于动态调整吉林省基本医疗保险工伤保险和生育保险诊疗项目及医疗服务设施项目目录2022年的通知,2/28/2023,省政府信息公开专栏,"各市（州）医疗保障局、长白山管委会医疗保障局,各县（市、区）医疗保障局: 为进一步提高肿瘤参保患者医疗保障水平，支持肿瘤诊疗新技术发展，经组织专家论证，将经皮氩氦刀冷冻消融术等3个项目（详见附件）按乙类纳入基本医疗保险支付范围，自2023年3月6日起执行。", 11220000MB19566296/2023-00651, 吉医保发〔2023〕12号, 医药服务管理;通知,吉林省
50,http://xxgk.jl.gov.cn/zsjg/fgw/xxgkmlqy/202304/t20230411_8691743.html,关于印发医保支持中医药传承创新发展若干政策措施的通知,4/11/2023,省政府信息公开专栏,各市（州）医疗保障局、卫生健康委、中医药管理局，长白山管委会医疗保障局、卫生健康局、中医药管理局，梅河口市医疗保障局、卫生健康局、中医药管理局：现将《医保支持中医药传承创新发展若干政策措施》（详见附件）印发你们，请你们按照职责分工加紧严密落实。附件：医保支持中医药传承创新发展若干政策措施。附件：为深入贯彻习近平总书记关于中医药工作的重要论述及《中共中央 国务院关于促进中医药传承创新发展的意见》《国务院办公厅关于印发中医药振兴发展重大工程实施方案的通知》等精神，扎实落实《中共吉林省委 吉林省人民政府关于促进中医药传承创新高质量发展的实施意见》《国家医疗保障局 国家中医药管理局关于医保支持中医药传承创新发展的指导意见》等要求，现就充分发挥医疗保障制度优势，支持中医药传承创新发展，总结并提出以下支持措施。一、加强中医药机构协议管理　　1.常态化、制度化开展履约能力评估，及时将符合条件的中医（含中西医结合、少数民族医，下同）医疗机构、中药零售药店及养老等相关单位内设的中医医疗机构纳入医保定点协议管理范围。对全部使用中医医疗技术和方法的中医备案诊所及中医个体诊所在履约能力评估时予以适当倾斜。（省社会医疗保险管理局及各地医保部门分别负责）2.将符合条件的定点中医医疗机构纳入异地就医直接结算定点范围，提升中医医疗机构区域辐射力和影响力。（省社会医疗保险管理局及各地医保部门分别负责）3.开展互联网诊疗的定点中医医疗机构，按规定与统筹地区医保经办机构签订补充协议后，将其提供的“互联网+”中医药服务纳入医保支付范围。（省医保局医药服务管理处、省社会医疗保险管理局及各地医保部门分别负责）4.深入推进长期护理保险，支持具有中医药健康养老特色的医养结合机构发展，符合条件的及时纳入长期护理保险定点范围，促进中医药与医养结合产业融合发展。（省社会医疗保险管理局及各地医保部门分别负责）二、强化中医药服务价格管理 5.建立目标导向的中医服务价格项目管理机制，优化现有中医价格项目，完善新增中医服务价格项目管理政策，丰富中医价格项目。对来源于古代经典、至今仍广泛应用、疗效确切的中医传统技术以及创新性、经济性优势突出的中医新技术，简化新增价格项目审核程序，开辟绿色通道。（省医保局价格招采处负责）6.建立健全灵敏有度的价格动态调整机制，及时开展调价评估，在医疗服务价格动态调整中重点考虑中医医疗服务项目，优先将功能疗效明显、患者广泛接受、特色优势突出、体现劳务价值、应用历史悠久，成本和价格明显偏离的中医医疗服务项目纳入调价范围。（省医保局价格招采处负责）三、支持中医药产业高质量发展 7.进一步健全完善我省基本医保中药饮片目录动态调整机制，做好与国家医保药品目录（中药饮片部分）的互补衔接。按程序及时将除国家明确的不得纳入基金支付范围之外的，有炮制标准、临床认可的中药饮片纳入我省医保支付范围。对公立医疗机构从正规渠道采购的中药饮片，继续按照实际购进价格顺加不超过25%销售。（省医保局医药服务管理处、价格招采处分别负责）8.逐步扩大我省基本医保中药配方颗粒支付范围，按程序将更多符合条件的中药配方颗粒纳入医保目录。开展中药配方颗粒省级挂网采购，促进交易公开透明。（省医保局医药服务管理处、价格招采处分别负责）9.医疗机构制剂可实行自主定价，并继续开展医疗机构制剂医保准入谈判。同时对纳入医保目录且药监部门批准的允许在医联体间调剂使用的制剂均予以支付，有效保障上下级医院间的用药衔接，助力分级诊疗制度建设和基层中医医疗机构服务能力提升。（省医保局医药服务管理处负责）10.以省级或省际区域联盟为基础，开展中成药带量采购，促进中成药生产企业高质量发展。（省医保局价格招采处负责）11.通过面向包括中药在内的药品生产企业开展医保药品目录准入及集中采购政策宣讲、定期举办座谈会、答复相关人大代表和政协委员建议提案等方式，加强政策宣传引导，有的放矢引导和支持医药产业发展。（省医保局医药服务管理处、价格招采处及各地医保部门分别负责）四、完善适合中医药特点的支付政策 12.支持中医技术发展，对新增的疗效确切、体现中医特色优势的中医医疗服务项目及时纳入我省诊疗项目及医疗服务设施项目目录。（省医保局医药服务管理处负责）13.加强医保总额预算管理，根据中医医疗机构的特点合理确定总额指标，加大对基层医疗卫生机构开展中医药服务的支持力度。支持中医医疗机构牵头组建紧密型县域医共体，并对其在总额预算上适当倾斜。（省社会医疗保险管理局及各地医保部门分别负责、同级卫健及中医药管理部门配合）14.推进中医医保支付方式改革。结合《吉林省DRG/DIP支付方式改革三年行动计划》推进，逐步将中医医疗机构纳入DRG/DIP付费管理。对适合纳入的病种通过中医诊断编码转化为西医诊断编码入组付费；遴选并建立中医优势病种库，在权重（分值）等方面予以倾斜。鼓励建设中医日间病房，开展中医日间治疗，遴选中医日间治疗病种并参照住院推行DRG/DIP付费。遴选包括中医在内的基层病种，对不同等级医疗机构实行同标准支付，促进分级诊疗及基层医疗机构开展中医药服务。（省医保局医药服务管理处及各地医保部门负责、同级卫健及中医药管理部门配合）15.支持定点中医医疗机构在其诊疗范围内承担医保门诊慢特病的诊疗，充分发挥中医药在慢特病防治中的作用。落实《关于印发慢性阻塞性肺病等疾病中医诊疗方案的通知》（吉中医药联发〔2020〕5号）要求，对通过鉴定的门诊慢性病患者，采用中医诊疗方案所发生的医疗费用可按该医保门诊慢性病的支付比例和支付限额予以执行。（省医保局待遇保障处负责）五、加强基金监管及部门联动 16.适应中医药服务管理特点，健全常态化日常监管机制，指导推进定点中医药机构落实基金使用主体责任，规范医保基金使用。（省医保局基金监管处及各地医保部门分别负责） 17.加强医保、卫健及中医药管理等部门间协调，强化医疗服务价格项目管理、医保支付方式改革及紧密型县域医共体建设等方面的政策联动，合力抓好工作落实，共促中医药传承创新发展。（省医保局、省卫生健康委、省中医药管理局共同负责）, 11220000MB19566296/2023-01104, 吉医保联〔2023〕10号, 医药服务管理;通知,吉林省
51,http://xxgk.jlcity.gov.cn/gzbm/zljsjd_30341/xbgkml/202305/t20230519_1130470.html,关于完善吉林市基本医疗保险门诊慢性病特殊疾病病种管理有关事项的通知,5/19/2023,吉林市人民政府,"各县（市）医疗保障局、市社会医疗保险管理局： 按照吉林省医疗保障局《关于完善吉林省基本医疗保险门诊慢性病、特殊疾病病种管理有关事项的通知》（吉医保发〔2022〕28号）文件要求，结合《吉林市人民政府办公室关于印发进一步健全完善吉林市职工医保门诊共济和待遇保障机制实施细则的通知》（吉市政办发〔2022〕39号，以下简称“39号文”）文件内容，现就完善吉林市基本医疗保险门诊慢性病、特殊疾病（以下简称门诊慢特病）病种有关事项通知如下： 一、明确病种范围及基金年度最高支付限额 职工医保门诊慢特病病种，按照全省职工医保统一的病种目录执行,病种范围由省医疗保障局动态调整。（一）门诊慢性病 吉林市职工医保门诊慢性病共29种，就诊范围、起付标准及统筹支付比例等按照“39号文”执行，统筹基金年度最高支付限额按照本通知附件1执行。居民医保执行全省统一的19种居民医保门诊慢性病病种（见附件2）。（二）门诊特殊疾病 职工医保覆盖55种门诊特殊疾病病种，居民医保覆盖50种门诊特殊疾病病种（见附件3）。二、统一规范病种名称和代码 统一规范职工医保门诊慢特病病种名称及代码。同一病种职工医保和居民医保的病种名称及代码保持一致。三、加强经办管理 经办部门要根据病种准入标准，细化门诊慢特病待遇享受期和复审周期。参保人员在待遇享受期满后未重新申请或在待遇享受期内未发生慢特病门诊费用的，门诊慢特病待遇自动取消。门诊慢性病、门诊特殊疾病病种执行全省统一的医保准入标准。四、做好工作衔接 （一）做好系统衔接 经办机构要在本通知印发后，沟通省级医保信息化管理部门做好病种名称、代码在医保信息平台的更新工作，确保系统运行平稳，为便于过渡衔接，吉林市原有病种名称及代码系统保留至2024年12月31日。（二）做好待遇衔接 1.做好未纳入本次职工医保门诊慢特病病种的衔接。本通知实施前，吉林地区原自行制定的、不在本通知规定范围的病种：已纳入人员可继续按规定享受待遇至2024年12月31日，本通知实施后这些病种不再纳入新的人员，相关费用通过普通门诊统筹予以保障。2.做好已纳入本次职工医保门诊慢特病病种的衔接。本通知实施前，吉林地区原自行制定的、已在本通知规定病种范围的病种：本通知实施前已通过门诊慢特病资格鉴定并享受待遇的，不再另行办理资格鉴定；本通知实施后新申请的参保人员，按本通知规定的病种范围办理。3.脱贫人口32种门诊慢病，病种名称、代码与职工、居民医保同步统一规范，病种保障方式发生变化的，过渡期内待遇保障水平就高执行。五、加强解读培训 各级经办机构要及时向参保人员做好政策宣传解读，加强对定点医药机构的业务培训，确保病种范围、名称及代码调整工作平稳开展。 本通知自2023年1月起，结合国家医保信息平台支撑情况有序实施。此前规定与本通知不一致的，按本通知执行。实施过程中如遇国家或省有关政策调整的，按新政策执行。附件： 1.吉林市职工医保门诊慢性病病种范围2.吉林市居民医保门诊慢性病病种范围 3.吉林市基本医疗保险门诊特殊疾病病种范围 4.脱贫人口32种门诊慢病病种范围", 11220200B1550282L/2023-04626, 吉市医保发〔2023〕1号, 待遇保障;通知,吉林省
52,http://xxgk.lishu.gov.cn/zcbm/dsj/newgkml/202305/t20230523_665842.html,关于印发梨树县2023年医保基金监管,5/23/2023,梨树县人民政府,"各科室、事业单位、各定点医药机构：为加强医保基金监管法律法规和政策措施的宣传教育，营造全社会关注并自觉维护医保基金安全的良好氛围，按照《吉林省医疗保障局关于开展2023年全省医保基金监管集中宣传月活动的通知》(吉医保办〔2023〕10号)和《四平市医疗保障局关于印发四平市2023年医保基金监管集中宣传月实施方案的通知》（四医保发〔2023〕2号）文件要求，结合我县实际，决定在全县范围内开展2023年医保基金监管集中宣传月活动，并制定本方案。一、活动主题 安全规范用基金 守好人民“看病钱”二、活动时间 2023年4月3日至2023年5月10日　三、宣传内容 (一)解读政策法规。重点围绕《医疗保障基金使用监督管理条例》、《国家医疗保障局 公安部关于加强查处骗取医保基金案件行刑衔接工作的通知》、《医疗机构医疗保障定点管理暂行办法》、《零售药店医疗保障定点管理暂行办法》等法规政策，通过深入浅出的普法解读，让定点医药机构、医保经办机构和参保群众准确理解每项条款的具体释义，自觉遵纪守法。(二)宣传惠民举措。向参保群众介绍医保经办业务办理途径、流程和标准，方便群众看病就医。大力宣传住院报销、门诊慢病、集中带量采购等重大工作举措，增强民众获得感、幸福感。(三)曝光典型案例。宣传近年来打击欺诈骗保工作成果，公开曝光定点医药机构、医保经办机构、参保人员等违法违规使用医保基金行为，提高曝光案例的数量和质量，强化典型案例的警示教育和震慑作用，敲响“不能骗、不敢骗”的警钟。(四)引导公众参与。认真落实《国家医保局办公室财政部办公厅关于印发<违法违规使用医疗保障基金举报奖励办法>的通知》(医保办发〔2022〕22号)要求，常态化向社会公开举报电话，规范举报线索办理流程，宣传举报奖励办法，鼓励群众积极参与医保基金监管工作，充分发挥社会监督作用。四、活动安排 (一)动员部署阶段(4月5日前) 做好集中宣传月活动前期的组织策划工作，发放海报等宣传资料，组织各相关单位在经办服务窗口、各定点医药机构窗口、宣传活动现场、公共场所派发和张贴宣传材料。(二)组织实施阶段(4月6日——4月30日) 1.举办一次启动仪式。县医疗保障局将举办宣传月启动仪式，邀请县政府分管领导及公安、卫健、市场监管等部门参加，集中展示医保基金监管工作成效。动员部署医保经办机构、各定点医药机构全面参与，深入开展医保基金监管宣传活动。2.组织一场现场集中宣传活动。2023年4月上旬，县医疗保障局将采取多种宣传渠道相结合的宣传方式，开展多层次、多角度、全方位的集中宣传。同时各定点医药机构，充分利用各单位电子屏、宣传栏播放宣传视频、标语、张贴海报等进行宣传。县医疗保障局将邀请媒体进行跟踪报道，扩大宣传效果，形成声势浩大的宣传阵势。 3.曝光一批典型案例。全面梳理近年来查处的违法违规使用医保基金典型案例，在“梨树县医疗保障”微信公众号等平台对案例进行集中曝光，充分发挥震慑作用，营造打击欺诈骗保的高压氛围。 4.积极参与有奖问答。县医疗保障局配合好市医疗保障局组织开展面向全县社会各界的有奖竞答活动，扩大宣传效果，动员广大群众积极参与有奖竞答活动，让医保基金监管法律法规知识深入人心。 5.举办一期专题培训。县医疗保障局开展行政执法专题培训，围绕《吉林省医疗保障局关于做好2023年医疗保障基金监管工作的通知》、《关于印发<2023年全省医保基金监管安全规范年行动方案>的通知》,就行政执法过程中注意事项和如何提升执法水平等方面进行专题讲解，进一步强化依法行政观念，规范行政执法行为，提高行政执法水平。 6.开展一次警示教育。组织召开定点医药机构、医保经办机构警示教育大会，重点围绕医保基金监管法律法规与政策措施，通报打击欺诈骗保典型案例，讲清欺诈骗保的危害及后果，警示定点医药机构、医保经办机构及从业人员提高行业自律意识和个人守信意识，自觉维护基金安全。 7.组织一期短视频大赛。组织县本级定点医药机构参与医保基金监管“安全规范年”短视频大赛。各定点医药机构要围绕“安全规范用基金 守好人民看病钱”主题内容，结合实际，开展微视频、短视频创编活动，可以是政策宣读、预防举措、案例点评，也可以以自身日常业务工作中如何抵制欺诈骗保行为作为题材编制微电影、短视频，通过故事场景再现，结合工作实际，深入浅出地开展宣传。全县二级及以上定点医疗机构、各定点连锁药店至少创编报送1个视频作品，参与视频大赛评选，优秀作品将推送参加省局的视频大赛，对有典型性、代表性的优秀短视频作品将推荐国家展播。 8.签订一次信用承诺活动。组织定点医药机构开展信用承诺活动，签订承诺书，将信用承诺履行作为协议管理、考核的重要依据，增强定点医药机构抵制欺诈骗保行为的自觉性，推动医保基金监管共建共治。 9.深入开展地区内基金监管交叉互检工作。进一步加强医保基金监管，持续保持打击欺诈骗保高压态势，通过医保基金监管部门联动体系，梨树县医疗保障局与双辽市医疗保障局、伊通县医疗保障局开展三地互检工作，采取集中协调原则，加强医疗保障监管信息共享，充分发挥各自优势，共同构建更加牢固的基金安全防线，切实提升三地基金监管水平，让参保人员更高效的享受医疗保障待遇。 (三)总结提高阶段(5月1日——5月10日)  总结宣传活动中取得的成功经验、查处的反面典型，建立长效机制。五、相关要求 （一）精心组织，协同推动。要高度重视，周密部署，科学组织，结合基金监管安全规范年行动各项任务，贯彻落实集中宣传月活动，有效开展基金监管法律法规和政策措施宣传。参照市局做法同步开展集中宣传月各项活动，合理制定集中宣传月实施方案，充分发挥集中宣传的窗口作用，确保宣传月各项工作有序进行。（二）广泛动员，集中宣传。要及时做好宣传月活动的组织动员，推进活动全面有序开展。将基金监管专项治理、日常稽核管理与医保政策法规的宣传教育结合起来开展，做到对定点医药机构的宣传效果达到全覆盖、无死角。（三）发动社会，全民参与。要加强社会舆论造势，使医保政策法规家喻户晓，营造全民知法守法的良好氛围，畅通举报投诉渠道，宣传解读举报奖励办法，鼓励群众积极主动参与医保基金监管工作中来，切实提高参保人员对医疗保障基金监管的关注度、知晓度、支持度和参与度。（四）上下联动，协调配合。要增强全局观念，加强统筹指导，协调联动，积极参与县医保局组织的各项活动，联合公安、卫健、市场监管等相关部门，形成工作合力，深入基层，贴近群众，通过进街道、进乡镇、进村社等广泛开展宣传活动。（五）认真总结，及时报告。各单位要注意收集宣传活动资料，整理宣传活动中涌现的好经验、好做法，要做好宣传工作总结。请于2023年5月6日前将宣传活动有关宣传资料、媒体报道及宣传工作总结报送至县医疗保障信息中心。", 11220322MB1628983M/2023-13334, 梨医保字【2023】1号, 综合政务（其他）; 通知,吉林省
53,http://xxgk.tongyu.gov.cn/zcbm/tyylbzj/xxgkml/202305/t20230526_962851.html,白城市职工医保门诊共济保障机制改革政策宣传,5/26/2023,通榆县人民政府,一、改革后医保个人账户划入方式 个人账户划入方式体现在2个方面“调整”。分别调整在职职工、退休人员的个人账户划入方式。第一，对于在职职工，改革前，个人账户的资金来源由单位缴费的一部分和个人缴费共同组成;改革后，个人缴费依然全划入个人账户，原来单位缴费划入个人账户的部分，划入统筹基金。第二，对于退休人员，改革前，每月划入个人账户的资金为“个人养老金实际发放数×计入比例” :改革后，划入个人账户的资金为“本统筹区改革当年基本养老金平均水平×计入比例。二、改革后医保个人账户相关政策 改革后个人账户保持3个“不变”。第一，个人账户结余的归属不变。个人账户的本金和利息，无论是改革前的历史结余，还是改革后新划入形成的结余，仍然归个人所有，仍然可以结转使用和继承。第二，在职职工个人缴费的比例，流向不变。在职职工个人医保缴费仍然全额划入个人账户。第三，退休人员不缴费的政策不变。退休人员仍然不需缴费，个人账户资金仍然由医保统筹基金划入。 三、改革带给职工参保人的益处 一是“提”，医疗保障待遇标准大幅提高。第一，健全普通门诊保障机制，2020年我市在全省率先实行职工基本医疗保险门诊统筹，在此基础上，进一步提高职工普通门诊统筹基金最高支付限额，普通门诊每人每年统筹基金最高支付限额由700元提高到1000元，门诊统筹就诊定点医疗机构范围由原二级及以下公立医疗机构扩大到所有医疗机构，在三级定点医疗机构起付标准为300元，二级及以下定点医疗机构为200元，一年设一次起付线:在职职工在一级及以下，二级，三级定点医疗机构统筹基金支付比例分别为60%、55%，50%，退休人员支付比例较在职职工提高3个百分点，分别为63%、58%，53%。第二，提高门诊慢病年度最高支付限额。门诊慢病与普通门诊共用一个起付线，报销比例为80%，慢病病种由20个增加至27个，年度统筹基金最高支付限额由原来的4400元提高到6500元，提高2100元。第三，提高门诊特殊疾病保障水平。门诊特殊疾病病种由41个增加至55个，按照住院待遇报销。第四，提高异地就医直接结算待遇支付标准。省内跨市(州)县域内定点医疗机构住院直接结算，免转院备案手续，不降低报销比例，报销比例同参保地住院一致:转外就医人员在定点医疗机构住院报销比例同比去年提高10个百分点;异地自主就医人员在定点医疗机构住院报销比例由20%提高至70%以上。二是“优”，医保便民服务事项进一步优化。第一，优化门诊费用报销范围。除药品费用可以报销外，符合规定的检查、检验、治疗等费用均纳入报销范围。第二，优化医保便民服务措施，逐步将符合条件的定点零售药店提供的用药保障服务，纳入门诊报销范围:在持续优化异地住院费用直接结算的基础上，不断扩大异地门诊费用直接结算范围；优化规范长期处方管理，满足慢性病患者长期用药需求，一次就医可开的处方量最长达12周。第三，积极推进“互联网+医保”服务，推动医保电子凭证就医购药全流程应用、扩大医保移动支付接入范围，尽快让参保人通过手机就能完成挂号就诊、医保结算、参保信息查询、异地就医备案等相关服务。三是“拓”，个人账户使用范围充分拓展。改革在三方面拓展了个人账户使用范围:第一，可以支付本人及配偶、父母、子女在定点医疗机构就医时发生的由个人负担的医疗费用;第二，可以支付本人及配偶、父母、子女在定点零售药店购买药品、医疗器械、医用耗材发生的由个人负担的费用;第三，可以支付配偶、父母、子女参加城乡居民基本医疗保险、职工补充保险等的个人缴费。 , 11220822MB1899070L/2023-02749,, 政策解读;其他,吉林省
54,http://xylh.jllh.gov.cn/xygs/cxjswlx/cxjswlx/202305/t20230526_2370503.html,政务诚信通化市柳河县医保局打造诚信医保推进医保门诊改革,5/26/2023,信用柳河县,为大力营造诚信医保工作氛围，确保医保新政策落地生效，通化市柳河县医保局强化组织领导，健全工作机制，严格贯彻落实省、市职工医保门诊共济制度改革工作部署，聚焦全县职工参保职工期盼，将医保改革红利优点亮点宣传到位、待遇保障落实到位，进一步提升医保改革成效。以政策宣传作为关健点。召开了医保门诊共济制度改革培训会，详细解读门诊共济相关政策规定，确保政策传达到位、解答到位。在通化电视台播出新闻报道“柳河县实施基本医疗保险共济保障政策”，在柳河发布、柳河县医疗保障局等公众号刊发“门诊也能报销！我县全面实施职工医保门诊共济保障政策”等文章，向社会大众广泛宣传解读政策。以各定点医疗机构、政务服务大厅医保窗口为宣传一线，实时解答职工门诊共济保障制度相关政策咨询。通过在全县范围内进行线上线下全方位政策宣传，合理引导了社会预期。以经办服务和结算报销工作作为着陆点，柳河县24家定点医疗机构全部开通职工医保普通门诊、门诊慢特病就诊报销业务，参保人员在门诊共济定点医疗机构就诊，实行“一站式”结算服务。为掌握政策落实和各定点医疗机构经办情况，柳河县医保局安排专人跟踪督导政策落实情况，逐步完善职工医保门诊慢特病鉴定、登记、补偿机制，不断提高服务水平，激发改革推进动力，确保改革事项落实落细。柳河县职工医保门诊共济制度实行市级统筹，全市统一政策、统一待遇标准、统一经办流程、统一信息系统、统一管理结算，普通门诊统筹基金年度支付最高限额为1000元、门诊慢性病年度支付最高限额为6000元。,,,,吉林省
55,http://ybj.jlsy.gov.cn/ybdt/202303/t20230322_491578.html,关于2023年度灵活就业人员医保缴费事宜的公告,12/31/2023,松原市社会医疗保险管理局,,,,,吉林省
56,http://zfxxgk.yanbian.gov.cn/gzbm/cyqguosj/xxgkml/202304/t20230426_416757.html,关于上解城镇职工基本医疗保险累计结余资金的通知,4/26/2023,延边州政府信息公开网,各县（市）医疗保障局、财政局：按照《关于全面启动城镇职工基本医疗保险和补充保险基金州级统收统支工作的通知》（延州医保联发〔2022〕13号）要求，为规范城镇职工医疗保险（以下简称“职工医保”）结余基金管理，现就上解职工医保结余基金阶段性工作要求通知如下：请各县（市）医疗保障局、财政局加强协同配合，于2023年4月31日之前，将留存县（市）职工医保基金财政专户的职工医保累计结余全额上解至职工医保州级统筹基金财政专户。各县（市）存在职工医保基金财政专户中尚未到期的定期存款等客观情况，由所涉县（市）财政部门书面向州财政局报告，待协议期满的5个工作日内将本息全额转入职工医保州级统筹基金财政专户。, 11222400MB1938949M/2023-04237, 延州医保联发〔2023〕8号, 医保经办服务;通知,吉林省
57,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202208/t20220817_2794059.html,北京市人民政府办公厅关于印发《北京市助企纾困优化营商环境若干措施》的通知,8/12/2022,市政府办公厅文件,,,京政办发〔2022〕22号,国民经济;国有资产监管;经济体制改革,北京市
58,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202209/t20220915_2816551.html,北京市人民政府办公厅关于全面实行行政许可事项清单管理的通知,9/15/2022,市政府办公厅文件,,,京政办发〔2022〕24号,综合政务;其他,北京市
59,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202212/t20221206_2871961.html,北京市人民政府办公厅关于印发《北京市积极应对疫情影响助企纾困的若干措施》的通知,12/5/2022,市政府办公厅文件,,,京政办发〔2022〕30号,国民经济;国有资产监管;经济体制改革,北京市
60,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202302/t20230207_2913006.html,北京市人民政府办公厅关于印发《北京市耕地开垦费征收管理办法》的通知,2/2/2023,市政府办公厅文件,,,京政办发〔2023〕3号,?国土资源;能源;土地,北京市
61,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202303/t20230302_2927936.html,北京市人民政府办公厅关于印发《北京市推广“一业一证”改革实施方案》的通知,2/24/2023,市政府办公厅文件,,,京政办发〔2023〕5号,国民经济;国有资产监管;经济体制改革,北京市
62,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202304/t20230407_2992308.html,北京市人民政府办公厅关于印发《北京市全面优化营商环境助力企业高质量发展实施方案》的通知,4/6/2023,市政府办公厅文件,,,京政办发〔2023〕8号,商贸;海关;旅游;国内贸易,北京市
63,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202305/t20230509_3090979.html,北京市人民政府办公厅关于印发《市政府2023年立法工作计划》的通知,5/9/2023,市政府办公厅文件,,,?京政办发〔2023〕13号,公安;安全;司法;司法,北京市
